Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Cân nặng,Giá(đ)
Bàn phím cơ E-DRA EK398 Pro Wireless Brown switch,E-DRA,EK398,không dây,358.07547169811323,brown,1013.0098039215686,1289000 
Bàn phím cơ E-DRA EK398 Pro Wireless Blue switch,E-DRA,EK398,không dây,358.07547169811323,blue,1013.0098039215686,1289000 
Bàn phím cơ Logitech G Pro X 60 LightSpeed Wireless Tactile switch,Logitech,FL100,không dây,358.07547169811323,white,1013.0098039215686,4589000 
Bàn phím cơ Fuhlen D87s RGB Brown switch,Fuhlen,D87s,không dây,358.07547169811323,brown,1013.0098039215686,560000 
Bàn phím cơ DarkFlash DF98 Twilight Wireless Yellow switch,DarkFlash,V500,không dây,358.07547169811323,yellow,1013.0098039215686,1299000 
Bàn phím cơ DareU EK87L V2 White Firefly switch,DareU,Blackwidow,có dây,358.07547169811323,yellow,1013.0098039215686,399000 
Bàn phím cơ E-DRA EK312 Alpha Blue switch- Hàng Giá Sốc,E-DRA,EK312,vừa có dây vừa không dây,44.0,blue,750.0,399000 
Bàn phím cơ NEWMEN GM326 White Brown switch,NEWMEN,Blackwidow,không dây,358.07547169811323,brown,1013.0098039215686,549000 
Bàn phím cơ E-DRA EK375 Beta Blue switch - Hàng Giá Sốc,E-DRA,EK375,không dây,358.07547169811323,blue,1013.0098039215686,449000 
Bàn phím cơ E-DRA EK384 Triple Mode Wireless Beta Blue switch,E-DRA,EK384,không dây,312.0,blue,750.0,799000 
Bàn phím cơ E-DRA EK384 Triple Mode Wireless Alpha Brown switch- Hàng Giá Sốc,E-DRA,EK384,không dây,312.0,brown,750.0,649000 
Bàn phím cơ E-DRA EK384 Triple Mode Wireless Alpha Blue switch- Hàng Giá Sốc,E-DRA,EK384,không dây,312.0,blue,750.0,649000 
Bàn phím cơ E-DRA EK368L Wireless Beta Red switch- Hàng Giá Sốc,E-DRA,EK368L,không dây,358.07547169811323,red,1013.0098039215686,349000 
Bàn phím cơ E-DRA EK368L Wireless Alpha Brown switch- Hàng Giá Sốc,E-DRA,EK368L,không dây,358.07547169811323,brown,1013.0098039215686,349000 
Bàn phím cơ E-DRA EK368L Wireless Alpha Blue switch - Hàng Giá Sốc,E-DRA,EK368L,không dây,358.07547169811323,blue,1013.0098039215686,349000 
Bàn phím cơ E-DRA EK387L RGB Brown switch- Hàng Giá Sốc,E-DRA,EK387L,không dây,358.07547169811323,brown,1013.0098039215686,399000 
Bàn phím cơ E-DRA EK387L RGB Blue switch- Hàng Giá Sốc,E-DRA,EK387L,vừa có dây vừa không dây,358.07547169811323,blue,1013.0098039215686,399000 
Bàn phím cơ DarkFlash GD108 Milky Brown Yellow Axis switch- Hàng Giá Sốc,DarkFlash,GD108,không dây,358.07547169811323,white,1013.0098039215686,699000 
Bàn phím cơ DareU EK87 V2 Black Brown switch - Hàng Giá Sốc,DareU,EK87,vừa có dây vừa không dây,358.07547169811323,brown,1013.0098039215686,399000 
Bàn phím cơ Asus ROG Strix Scope II 96 Wireless NX Snow switch,Asus,ROG,vừa có dây vừa không dây,358.07547169811323,green,1013.0098039215686,3889000 
Bàn phím cơ FL-Esports FL980 CPS White Olivia Kailh Box Red switch,FL-Esports,FL980,không dây,358.07547169811323,red,1013.0098039215686,1099000 
Bàn phím cơ Asus ROG Azoth Wireless White NX Red switch,Asus,ROG,không dây,358.07547169811323,red,1013.0098039215686,5499000 
Bàn phím cơ Razer Huntsman V3 Pro Analog Optical switch,Razer,GP75,có dây,358.07547169811323,brown,1013.0098039215686,6189000 
Bàn phím cơ Razer Blackwidow V4 X Yellow switch,Razer,Blackwidow,vừa có dây vừa không dây,358.07547169811323,yellow,1013.0098039215686,2989000 
