Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Giá(đ)
Bàn phím cơ Logitech G813 Lightsync RGB GL Tactile ,Logitech,GP75CPM,không dây,357.3097826086956,black,2699000
Bàn phím cơ Logitech G813 Lightsync RGB GL Linear ,Logitech,TC-3218,không dây,357.3097826086956,blue,2699000
Bàn phím cơ Logitech G813 Lightsync RGB GL Clicky ,Logitech,ROG Falchion,không dây,357.3097826086956,red,2699000
Bàn phím chơi game Newmen E340+ ,Newmen,EK314W,không dây,357.3097826086956,pink,149000
Bàn phím Logitech G913 TKL Lightspeed Wireless RGB Red Linear switch,Logitech,H75S Panda 3 Mode Wireless,không dây,357.3097826086956,red,3599000
Bàn phím Gaming không dây Logitech Pro X TKL Lightspeed Màu Trắng Tactile Switch ,Logitech,Brown Switch ,không dây,352.0,blue,3999000
Bàn phím không dây Logitech K580 Graphite ,Logitech,TC-3218,không dây,373.0,cherry,899000
Bàn phím không dây Razer Pro Type Ultra Wireless Productivity ,Razer,FL100CPM,không dây,439.0,blue,3699000
Bàn phím Gaming không dây Logitech Pro X TKL Lightspeed Màu đen Tactile Switch ,Logitech,EK368L,không dây,352.0,black,3999000
Bàn phím không dây Logitech K580 Pale Grey ,Logitech,TC-3218,không dây,373.0,blue,939000
Bàn phím cơ Dareu A98 PRO Tri Mode TIRAMISU ,DAREU,EK375,không dây,357.3097826086956,silver,2199000
Bàn phím cơ Dareu A98 PRO Tri Mode Timeless ,DAREU,EK368L,không dây,357.3097826086956,blue,2199000
Bàn phím cơ Không dây FL-Esport Q75 Azure Green 3 Mode Rosa sw ,Flesports,FL100CPM,vừa có dây vừa không dây,357.3097826086956,yellow,3399000
Bàn phím ASUS ROG Strix Scope NX TKL ,Asus,Asus ROG Strix Scope NX TKL Deluxe,không dây,357.3097826086956,blue,2499000
Bàn Phím ASUS ROG FALCHION ACE NX ,Asus,ROG Falchion,có dây,305.0,blue,2399000
Bàn phím cơ Asus TUF K3 ,Asus,CD87HR,có dây,357.3097826086956,red,1679000
Bàn phím cơ có dây AULA F87 Đen Trắng Xanh dương ,AULA,Asus ROG Strix Scope NX TKL Deluxe,vừa có dây vừa không dây,357.3097826086956,blue,999000
